YEAR,AUTHORS,GEOM,MAT,ROD_DIM,ROD_PITCH,SHROUD_DIM,Lh,FLUID,FLOW_DIR,POW_DIST,P_IN,G,T_IN,TSUB_IN,HSUB_IN,XE_IN,P_EXIT,T_EXIT,TSUB_EXIT,HSUB_EXIT,X_EXIT,XE_EXIT,CHF,Z_CHF,APP,CHANGE,CHF_DETECT,FQ
none,none,none,none,m,m,m,m,none,degree,none,Pa,kg/m2-s,K,K,J/kg,none,Pa,K,K,J/kg,none,none,W/m2,m,none,none,none,none
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,94.94,,202.2,,,13789518,,,,0.24,,580445,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,162.75,,225.6,,,13789518,,28.9,,,,829657,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,280.74,,247.8,,,13789518,,30.6,,,,1441648,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,48.82,,77.2,,,103421,,,,0.71,,473189,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,76.7,,,103421,,,,0.61,,1255527,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,250.9,,76.7,,,103421,,,,0.45,,1665624,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,358.04,,76.7,,,103421,,,,0.46,,2444808,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,56.96,,182.2,,,1758164,,,,0.02,,233440,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,181.1,,,1723690,,22.8,,,,498425,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,181.1,,,1723690,,35,,,,791802,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,358.04,,181.1,,,1723690,,36.7,,,,1088334,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,59.67,,216.7,,,3447380,,20.6,,,,249213,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,150.54,,216.7,,,3447380,,34.4,,,,586754,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,256.33,,216.7,,,3447380,,40,,,,946377,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,359.4,,216.7,,,3447380,,45,,,,1318619,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,59.67,,76.7,,,103421,,,,0.74,,586754,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,76.1,,,103421,,,,0.7,,1410102,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,75.6,,,103421,,,,0.53,,1933764,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,359.4,,75,,,103421,,,,0.55,,2753958,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,59.67,,180,,,1723690,,,,0.79,,675082,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,180,,,1723690,,,,0.72,,1589914,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,179.4,,,1723690,,,,0.68,,2659320,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,303.8,,179.4,,,1723690,,,,0.61,,2952697,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,303.8,,179.4,,,1723690,,,,0.69,,3186137,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,59.67,,216.1,,,3447380,,,,0.87,,728711,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,216.1,,,3447380,,,,0.75,,1662469,0.1524,,,,
